months,sqm,block,flat_model,flat_type,floor_area_sqm,lease_commence_date,month,month_num,psm_price,resale_price,storey_range,street_name,town
1,80,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,81,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,82,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,83,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,84,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,85,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,86,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,87,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,88,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,89,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,90,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,91,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,92,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,93,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,94,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,95,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,96,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,97,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,98,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,99,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,100,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,101,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,102,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,103,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,104,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,105,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,106,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,107,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,108,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,109,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,110,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,111,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,112,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,113,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,114,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,115,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,116,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,117,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,118,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,119,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,120,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,121,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,122,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,123,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,124,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,125,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,126,149,Improved,5 ROOM,126.0,1995,Feb-16,201602,3412.7,430000.0,10 TO 12,PASIR RIS ST 13,PASIR RIS
1,127,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,128,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,129,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,130,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,131,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,132,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,133,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,134,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,135,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,136,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,137,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,138,234,Model A,5 ROOM,138.0,1993,Mar-16,201603,3442.03,475000.0,10 TO 12,PASIR RIS DR 4,PASIR RIS
1,139,206,Apartment,EXECUTIVE,147.0,1993,Mar-16,201603,3482.99,512000.0,01 TO 03,PASIR RIS ST 21,PASIR RIS
1,140,206,Apartment,EXECUTIVE,147.0,1993,Mar-16,201603,3482.99,512000.0,01 TO 03,PASIR RIS ST 21,PASIR RIS
1,141,206,Apartment,EXECUTIVE,147.0,1993,Mar-16,201603,3482.99,512000.0,01 TO 03,PASIR RIS ST 21,PASIR RIS
1,142,206,Apartment,EXECUTIVE,147.0,1993,Mar-16,201603,3482.99,512000.0,01 TO 03,PASIR RIS ST 21,PASIR RIS
1,143,206,Apartment,EXECUTIVE,147.0,1993,Mar-16,201603,3482.99,512000.0,01 TO 03,PASIR RIS ST 21,PASIR RIS
1,144,206,Apartment,EXECUTIVE,147.0,1993,Mar-16,201603,3482.99,512000.0,01 TO 03,PASIR RIS ST 21,PASIR RIS
1,145,206,Apartment,EXECUTIVE,147.0,1993,Mar-16,201603,3482.99,512000.0,01 TO 03,PASIR RIS ST 21,PASIR RIS
1,146,206,Apartment,EXECUTIVE,147.0,1993,Mar-16,201603,3482.99,512000.0,01 TO 03,PASIR RIS ST 21,PASIR RIS
